EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
156716248,M,5,1,2528,25,3,955L,Above Standard,2579,43,Below Standard,2406,47,At/Near Standard,2584,72,At/Near Standard,2558,50,1,2516,22,2,820Q,At/Near Standard,2520,31,At/Near Standard,2543,40,At/Near Standard,2460,57
753725882,F,5,1,2400,27,1,670L,Below Standard,2425,42,Below Standard,2403,65,At/Near Standard,2425,66,Below Standard,2346,58,1,2402,25,1,495Q,Below Standard,2435,34,Below Standard,2303,103,Below Standard,2396,61
536233868,M,5,1,2543,25,3,985L,Above Standard,2579,42,At/Near Standard,2558,51,At/Near Standard,2575,65,At/Near Standard,2383,103,1,2426,26,1,560Q,Below Standard,2413,34,At/Near Standard,2501,43,Below Standard,2313,104
948334737,M,5,1,2511,26,3,915L,At/Near Standard,2554,47,Below Standard,2406,53,At/Near Standard,2531,82,At/Near Standard,2526,45,1,2427,25,1,565Q,Below Standard,2420,34,At/Near Standard,2470,47,Below Standard,2404,55
316628495,M,5,1,2531,23,3,960L,At/Near Standard,2547,41,At/Near Standard,2519,49,At/Near Standard,2571,76,At/Near Standard,2512,39,1,2522,20,2,835Q,At/Near Standard,2525,31,At/Near Standard,2508,36,At/Near Standard,2536,45
334235658,M,5,1,2444,27,2,765L,At/Near Standard,2529,42,Below Standard,2296,93,Below Standard,2367,77,At/Near Standard,2429,51,1,2490,20,2,745Q,At/Near Standard,2492,27,At/Near Standard,2468,41,At/Near Standard,2515,44
367656282,F,5,1,2593,25,4,1100L,At/Near Standard,2512,49,Above Standard,2627,49,At/Near Standard,2616,81,Above Standard,2627,51,1,2541,18,3,890Q,At/Near Standard,2563,26,At/Near Standard,2557,38,At/Near Standard,2495,34
827756732,F,5,1,2609,26,4,1135L,Above Standard,2587,43,Above Standard,2669,67,Above Standard,2790,127,At/Near Standard,2557,45,1,2606,17,4,1075Q,Above Standard,2600,25,Above Standard,2616,30,Above Standard,2606,34
333458566,M,5,1,2612,27,4,1140L,Above Standard,2600,48,At/Near Standard,2519,52,Above Standard,2747,105,Above Standard,2652,51,1,2618,17,4,1110Q,Above Standard,2608,25,Above Standard,2607,31,Above Standard,2654,39
961755696,F,5,1,2630,29,4,1180L,Above Standard,2633,63,At/Near Standard,2548,56,Above Standard,2666,82,Above Standard,2679,56,1,2527,19,2,845Q,At/Near Standard,2523,26,Above Standard,2587,37,At/Near Standard,2468,44
359353481,F,5,1,2598,28,4,1110L,Above Standard,2626,55,Above Standard,2580,52,At/Near Standard,2525,77,Above Standard,2619,51,1,2539,19,3,885Q,At/Near Standard,2521,27,At/Near Standard,2550,37,At/Near Standard,2561,37
